id,jid,jobname,salary,workExp,eduLevel,cname,ctype,csize,jobtype,cityname
40,CC562244523J90362330000,Python工程师,6K-8K,不限,大专,上海怡科信息科技有限公司,民营,500-999人,软件/互联网开发/系统集成,上海
41,CC120101090J00159533215,python工程师-上海,12.5K-25K,3-5年,本科,北京神州新桥科技有限公司,民营,500-999人,软件/互联网开发/系统集成,上海
42,CC298708335J90250309000,python开发工程师,10K-15K,1-3年,本科,全美在线(北京)教育科技股份有限公司,上市公司,500-999人,软件/互联网开发/系统集成,上海
43,CC322742114J00218735704,python开发,10K-17K,3-5年,本科,亚创(上海)工程技术有限公司,外商独资,10000人以上,软件/互联网开发/系统集成,上海
44,CC246362737J00156259113,Python开发工程师(001547),15K-30K,3-5年,本科,奇安信科技集团股份有限公司,其它,1000-9999人,软件/互联网开发/系统集成,上海
45,CC686233830J00164558812,python开发工程师,15K-20K,3-5年,本科,北京翼佰易环保科技服务有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
46,CC839265400J00382377905,python高级讲师,20K-30K,5-10年,本科,上海蜗兴科技有限公司,民营,20-99人,教育/培训,上海
47,CC139131348J00190615013,python高级工程师 上海,10K-20K,3-5年,本科,亚信科技(中国)有限公司,民营,10000人以上,软件/互联网开发/系统集成,上海
48,CC134189873J00310654004,AliCloud Python Tech Lead,30K-50K,5-10年,本科,高知特信息技术上海有限公司,外商独资,10000人以上,IT管理/项目协调,上海
49,CC254499910J00317979008,量化模型开发人员(python/R),10K-15K,3-5年,大专,深圳麦亚信科技股份有限公司,上市公司,100-499人,软件/互联网开发/系统集成,上海
50,CC517656180J00389416203,python开发工程师,15K-25K,3-5年,本科,任仕达企业管理(上海)有限公司深圳分公司,外商独资,100-499人,软件/互联网开发/系统集成,上海
51,CC443446127J00156572213,Python数据分析工程师-ADAS,13K-22K,不限,本科,北京经纬恒润科技有限公司海淀分公司,民营,1000-9999人,软件/互联网开发/系统集成,上海
52,CC443446127J00142748013,Python数据分析工程师-ADAS,13K-26K,1-3年,本科,北京经纬恒润科技有限公司海淀分公司,民营,1000-9999人,软件/互联网开发/系统集成,上海
53,CC701650830J00206861911,python开发工程师,6K-12K,3-5年,大专,三门峡崤云安全服务有限公司,国企,20-99人,软件/互联网开发/系统集成,上海
54,CC544024686J90250049000,python开发工程师（上海）,10K-15K,1-3年,本科,深圳市前海谷雨网络科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
55,CC341813734J00128163306,测试开发工程师（python）,7K-11K,1-3年,本科,赫里普(上海)信息科技有限公司,合资,20-99人,软件/互联网开发/系统集成,上海
56,CC148106168J00040895811,自动化实施（shell/python）,8K-10K,1-3年,本科,北京中亦安图科技股份有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
57,CZ714068380J00122156907,python开发助理 双休,6K-8K,不限,大专,上海煜喜环保科技有限公司,不限,100-499人,软件/互联网开发/系统集成,上海
58,CC447211938J00303343002,Python开发工程师,10K-15K,1-3年,本科,重庆软维科技有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
59,CC585544520J00357064905,高级Python开发工程师,15K-25K,5-10年,本科,上海财联社金融科技有限公司,国企,100-499人,软件/互联网开发/系统集成,上海
60,CZ714068380J00123696607,初级Python开发工程师,6K-8K,不限,大专,上海煜喜环保科技有限公司,不限,100-499人,软件/互联网开发/系统集成,上海
61,CC562550032J90250050000,python开发工程师（上海）,10K-18K,1-3年,大专,深圳市八斗才数据有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
62,CC872325800J00349251105,Python开发工程师（双休）,8K-10K,不限,大专,上海露善文化传播有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
63,CZ714068380J00333659107,python开发,6K-8K,不限,大专,上海煜喜环保科技有限公司,不限,100-499人,软件/互联网开发/系统集成,上海
64,CZ784983780J00324836203,python开发助理,8K-10K,不限,大专,上海安秉信息技术有限公司,民营,500-999人,软件/互联网开发/系统集成,上海
65,CZ714068380J00151990807,Python工程师,8K-10K,1-3年,大专,上海煜喜环保科技有限公司,不限,100-499人,软件/互联网开发/系统集成,上海
66,CZ714068380J00124285207,初级Python开发工程师,6K-8K,不限,大专,上海煜喜环保科技有限公司,不限,100-499人,软件/互联网开发/系统集成,上海
67,CC424988530J00186086906,python工程师,10K-15K,1-3年,大专,大查柜(上海)网络科技有限公司,民营,500-999人,软件/互联网开发/系统集成,上海
68,CC547768720J90250078000,Python开发工程师,9K-15K,1-3年,本科,上海云深网络技术有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
69,CC223715429J00390564807,Python开发-ERP方向-实习生,4K-6K,不限,本科,上海迈智企业管理咨询事务所,民营,20-99人,软件/互联网开发/系统集成,上海
70,CC390261416J90251835000,Python讲师,20K-30K,3-5年,大专,北京千锋互联科技有限公司,民营,500-999人,教育/培训,上海
71,CC466965980J00235529507,python开发工程师（上海）,12K-18K,3-5年,大专,深圳市芒柠科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
72,CZ714068380J00148506807,python工程师,8K-10K,不限,大专,上海煜喜环保科技有限公司,不限,100-499人,软件/互联网开发/系统集成,上海
73,CZ714068380J00126201907,急招Python开发助理+福利好待遇好,6K-8K,不限,大专,上海煜喜环保科技有限公司,不限,100-499人,软件/互联网开发/系统集成,上海
74,CZ784983780J00324805203,Python开发工程师,4K-6K,不限,大专,上海安秉信息技术有限公司,民营,500-999人,软件/互联网开发/系统集成,上海
75,CC842910190J00180734204,日语Java/Python开发工程师-初级,5K-10K,不限,本科,Uniqsys优尼卡日本株式会社,外商独资,20-99人,软件/互联网开发/系统集成,上海
76,CC184741610J00265500502,Python 数据科学家,12K-18K,无经验,本科,上海博佳医药科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
77,CC811211310J00265132004,Python数据分析师助理,6K-8K,不限,大专,知才(上海)信息技术有限公司,国企,100-499人,咨询/顾问/调研/数据分析,上海
78,CC157840524J00190467905,python工程师(03),12K-18K,3-5年,本科,上海复深蓝软件股份有限公司,上市公司,1000-9999人,软件/互联网开发/系统集成,上海
79,CC428715824J90251194000,Python开发工程师,10K-20K,不限,本科,北京金色华勤数据服务有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
80,CC457165781J00377377903,Scratch/Python课程设计师,8K-15K,不限,本科,立乐教育科技(上海)有限公司,合资,20-99人,教育/培训,上海
81,CC466965980J90250056000,Python开发工程师（上海）,10K-15K,1-3年,大专,深圳市芒柠科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
82,CZ828678070J00251838908,python前端开发工程师,10K-20K,3-5年,本科,上海益者信息科技有限公司,民营,20人以下,软件/互联网开发/系统集成,上海
83,CC298708335J00114681915,python开发,10K-15K,3-5年,本科,全美在线(北京)教育科技股份有限公司,上市公司,500-999人,软件/互联网开发/系统集成,上海
84,CC430487518J00325528908,python开发工程师,10K-15K,1-3年,本科,上海淘利资产管理有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
85,CZ630085630J00275117804,python开发工程师,10K-15K,3-5年,大专,上海驰擎商务咨询有限公司,民营,20人以下,IT运维/技术支持,上海
86,CC424988530J00233791506,python开发,8K-10K,1-3年,本科,大查柜(上海)网络科技有限公司,民营,500-999人,软件/互联网开发/系统集成,上海
87,CC585544520J00357061905,Python开发工程师,10K-15K,1-3年,本科,上海财联社金融科技有限公司,国企,100-499人,软件/互联网开发/系统集成,上海
88,CC581369222J00372736903,python开发,12K-18K,3-5年,大专,苏州博纳讯动软件有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
89,CC581369222J90250256000,Python开发工程师,6K-10K,3-5年,本科,苏州博纳讯动软件有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
90,CC842910190J00181379304,赴日java/Python软件开发-日语必须 ,15K-30K,不限,本科,Uniqsys优尼卡日本株式会社,外商独资,20-99人,软件/互联网开发/系统集成,上海
91,CC155417417J00164525714,自动化测试工程师（Python+Selenium）,11K-15K,3-5年,本科,北京元年科技股份有限公司,上市公司,500-999人,IT质量管理/测试/配置管理,上海
92,CC525555530J00304290702,python开发工程师,15K-20K,1-3年,本科,上海华钦瑞成信息技术有限公司,其它,不限,软件/互联网开发/系统集成,上海
93,CC844880780J00397736207,Python爬虫工程师,15K-20K,3-5年,本科,上海慧住信息科技有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
94,CC530679920J00449612201,Python开发工程师-上海-01937,15K-20K,3-5年,本科,京北方信息技术股份有限公司上海分公司,民营,1000-9999人,软件/互联网开发/系统集成,上海
95,CC273670418J00207713211,python开发工程师,15K-20K,3-5年,本科,北京捷科智诚科技有限公司,民营,1000-9999人,软件/互联网开发/系统集成,上海
96,CC490687230J00307115704,python开发工程师,10K-18K,1-3年,本科,上海联元智能科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
97,CC531858125J00425070705,python开发（MJ000286）,10K-20K,1-3年,本科,上海锦江国际电子商务有限公司,股份制企业,500-999人,软件/互联网开发/系统集成,上海
98,CC448849235J00308270704,Python大数据开发工程师,15K-20K,3-5年,本科,厦门启昂科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
99,CZ303024380J00060343007,python高级大数据开发工程师,15K-20K,3-5年,本科,阿基米德(上海)传媒有限公司,国企,20-99人,软件/互联网开发/系统集成,上海
100,CZ524189930J00307691302,高级 Python 工程师,15K-20K,1-3年,本科,深圳同方以衡基金管理有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
101,CC426745729J00413950405,PYTHON 开发工程师,6K-12K,1-3年,大专,烟台智慧云谷云计算有限公司,其它,100-499人,软件/互联网开发/系统集成,上海
102,CC203630516J00278973703,python开发工程师,10K-18K,1-3年,本科,上海易路软件有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
103,CC203630516J00278976703,python高级工程师,18K-28K,3-5年,本科,上海易路软件有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
104,CC439765921J00294238901,python 高级程序员,10K-15K,1-3年,本科,上海网元电子商务有限公司,合资,20-99人,软件/互联网开发/系统集成,上海
105,CC277939137J90250029000,Python开发工程师,15K-30K,5-10年,本科,纳米盒,民营,100-499人,软件/互联网开发/系统集成,上海
106,CC181870524J00200361811,Python开发工程师,8K-15K,1-3年,本科,北京曼恒数字技术有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
107,CC533586027J00319771603,Python（RPA)实施开发工程师,6K-8K,不限,大专,上海艺赛旗软件股份有限公司,上市公司,100-499人,IT运维/技术支持,上海
108,CC533586027J00246548303,RPA软件售前工程师（Python）,7K-10K,1-3年,大专,上海艺赛旗软件股份有限公司,上市公司,100-499人,客服/售前/售后技术支持,上海
109,CC197121610J00260139202,python开发工程师,10K-18K,1-3年,本科,上海合合信息科技发展有限公司,合资,100-499人,软件/互联网开发/系统集成,上海
110,CC143509272J00249065708,Python开发/深度学习,8K-15K,1-3年,本科,上海凯融信息科技有限公司,外商独资,100-499人,软件/互联网开发/系统集成,上海
111,CC120720281J00198305105,初级python工程师,8K-10K,1-3年,本科,上海浦东软件园信息技术股份有限公司,股份制企业,20-99人,软件/互联网开发/系统集成,上海
112,CC203630516J90250013000,Python高级开发工程师,15K-25K,3-5年,学历不限,上海易路软件有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
113,CC379814418J00258727302,python高级工程师,15K-20K,3-5年,本科,上海思贤信息技术股份有限公司,股份制企业,20-99人,软件/互联网开发/系统集成,上海
114,CC554009121J00159278101,python（爬虫）,6K-8K,不限,本科,上海桥之队教育科技有限公司,合资,20-99人,软件/互联网开发/系统集成,上海
115,CC137771372J90250422000,Python/Odoo高级开发工程师,10K-20K,1-3年,大专,上海企通软件有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
116,CC554009121J00114837701,Python爬虫工程师（周末双休）,8K-10K,1-3年,本科,上海桥之队教育科技有限公司,合资,20-99人,软件/互联网开发/系统集成,上海
117,CC120720281J00206374705,python后端工程师,10K-15K,1-3年,本科,上海浦东软件园信息技术股份有限公司,股份制企业,20-99人,软件/互联网开发/系统集成,上海
118,CC577710980J00380285503,Python 后台开发工程师,11K-20K,1-3年,本科,上海媒智科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
119,CC166428213J00313406106,python开发工程师,10K-15K,1-3年,大专,上海速强信息技术股份有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
120,CC554009121J00417499101,Python开发（爬虫）/Python爬虫,6K-11K,不限,大专,上海桥之队教育科技有限公司,合资,20-99人,软件/互联网开发/系统集成,上海
121,CC000588680J00416005305,python讲师（IT培训讲师+高额项目奖金+祁连山路地铁站）,15K-25K,1-3年,大专,上海内威职业技能培训学校,民营,20-99人,教育/培训,上海
122,CC444249611J00302832702,python高级软件工程师,10K-15K,3-5年,本科,上海聚立信息技术有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
123,CZ810117440J00379105301,python教研老师,10K-15K,1-3年,大专,宠然智能科技(上海)有限公司,民营,20-99人,教育/培训,上海
124,CC541486423J00207609603,python,10K-15K,3-5年,本科,博彦科技(深圳)有限公司,上市公司,500-999人,软件/互联网开发/系统集成,上海
125,CC161386710J00308443308,Python-RPA开发实习生,2K-4K,无经验,本科,米思米(中国)精密机械贸易有限公司,外商独资,500-999人,实习生/培训生/储备干部,上海
126,CC139151135J00313663302,数据采集工程师-Python工程师（爬虫）,8K-10K,1-3年,大专,上海长方光学仪器有限公司,股份制企业,100-499人,软件/互联网开发/系统集成,上海
127,CC818984980J00106803114,python开发工程师,6K-12K,3-5年,本科,青岛原子青软管理咨询有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
128,CC499432829J00354570503,Python/PHP后端程序员,10K-15K,3-5年,大专,上海萌果信息科技有限公司,合资,100-499人,软件/互联网开发/系统集成,上海
129,CC000606576J00255024502,Python量化开发工程师,18K-25K,5-10年,本科,上海汇银（集团）有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
130,CC130868137J00151663206,Python开发工程师,8K-10K,无经验,本科,上海嘉之道企业管理咨询有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
131,CC272317033J00226192508,(D)Python开发工程师,10K-15K,不限,学历不限,杭州优灿科技有限公司,合资,500-999人,软件/互联网开发/系统集成,上海
132,CC431575010J00304405906,云平台Python高级开发工程师,12K-20K,3-5年,本科,上海派森诺生物科技股份有限公司,上市公司,100-499人,软件/互联网开发/系统集成,上海
133,CC441430025J00388828303,Python算法工程师,20K-30K,3-5年,本科,上海瑞谷拜特软件技术有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
134,CC197121610J00312576302,python后端实习生,4K-6K,无经验,本科,上海合合信息科技发展有限公司,合资,100-499人,软件/互联网开发/系统集成,上海
135,CC402972316J00293366908,python开发工程师,15K-20K,3-5年,本科,思满软件科技(上海)有限公司,股份制企业,20-99人,软件/互联网开发/系统集成,上海
136,CC000420639J00137852408,软件测试工程师（上海）,10K-18K,3-5年,本科,华讯网络系统有限公司,国企,1000-9999人,IT质量管理/测试/配置管理,上海
137,CZ413070230J00310972208,Python高级开发工程师,8K-15K,1-3年,大专,上海一实网络科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
138,CC810488020J00390171903,python开发工程师,8K-15K,不限,本科,上海冷水河信息科技有限公司,民营,20人以下,软件/互联网开发/系统集成,上海
139,CZ679687830J00306046308,大数据运维工程师,16K-25K,3-5年,本科,上海和邑信息科技有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
140,CC875770450J00301901506,大数据运维工程师,8K-11K,1-3年,大专,湖南华兴亚鼎信息科技有限公司,民营,20-99人,IT运维/技术支持,上海
141,CC408804630J00312431908,应用软件工程师助理,4K-6K,不限,本科,聆脉医疗科技(上海)有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
142,CC507123739J00257060506,算法工程师,15K-30K,1-3年,硕士,上海昌投网络科技有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
143,CC171376726J00248120901,c++开发工程师,10K-20K,1-3年,本科,上海方菱计算机软件有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
144,CC171376726J00248114701,嵌入式Linux开发工程师,11K-20K,1-3年,本科,上海方菱计算机软件有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
145,CC229736025J00179539210,linux开发工程师,9K-18K,不限,大专,中国科学院软件研究所,国企,100-499人,软件/互联网开发/系统集成,上海
146,CC138348237J00192162408,嵌入式电子工程师,6K-8K,1-3年,本科,上海迅达医疗仪器有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
147,CC211097012J90250208000,结构生物学/蛋白质晶体学解析研究员,6K-8K,不限,学历不限,维亚生物科技(上海)有限公司,上市公司,500-999人,生物/制药/医疗器械,上海
148,CC815537670J00270608408,java开发工程师,6K-8K,1年以下,大专,上海聪日网络科技有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
149,CC171376726J00368854801,c++研发助理工程师,6K-11K,不限,本科,上海方菱计算机软件有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
150,CC304367380J00307161704,运维工程师,15K-30K,3-5年,大专,佛山市证通佑诚科技有限公司,民营,20人以下,IT运维/技术支持,上海
151,CC000024575J00192529702,云产品Java高级研发工程师,15K-25K,3-5年,本科,格尔软件股份有限公司,上市公司,100-499人,软件/互联网开发/系统集成,上海
152,CZ578732220J00330058907,C++算法工程师,15K-30K,3-5年,本科,上海朱门信息科技有限公司,不限,20-99人,软件/互联网开发/系统集成,上海
153,CC142283986J90250506000,Java工程师,10K-15K,3-5年,本科,上海成生科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
154,CC131820046J00423284105,数据库工程师,8K-10K,5-10年,本科,南京思索电气有限公司,民营,1000-9999人,软件/互联网开发/系统集成,上海
155,CC429613911J00225187408,高级软件开发工程师,10K-20K,5-10年,学历不限,上海数策软件股份有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
156,CC839265400J00224958205,软件测试工程师,8K-10K,1-3年,大专,上海蜗兴科技有限公司,民营,20-99人,IT质量管理/测试/配置管理,上海
157,CC839265400J00397721105,C/C++开发工程师,8K-10K,1-3年,大专,上海蜗兴科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
158,CC381506538J00032985906,量化分析师,7K-12K,1-3年,本科,上海向右网络科技有限公司,民营,20-99人,证券/期货/投资管理/服务,上海
159,CC461678927J00260842905,高级测试工程师,15K-20K,3-5年,本科,上海旗计智能科技有限公司,上市公司,1000-9999人,IT质量管理/测试/配置管理,上海
160,CC885256910J00303767904,电子工程师实习生,3K-5K,无经验,本科,上海尚沅半导体科技有限公司,民营,20人以下,电子/电器/半导体/仪器仪表,上海
161,CC293386717J00245767308,linux 运维工程师,6K-12K,1-3年,大专,上海志承软件有限公司,民营,20-99人,IT运维/技术支持,上海
162,CC837446920J00172142012,需求分析师,6K-9K,1-3年,本科,吉林省钜乔科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
163,CC695600585J00388916503,后台软件开发工程师,10K-15K,3-5年,本科,杭州宇宙企业管理有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
164,CZ687666630J00144542908,C++后端中级/高级开发,28K-30K,3-5年,本科,上海火魂网络科技有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
165,CC000649954J00308651904,软件开发工程师,10K-15K,不限,大专,德仪科技有限公司,外商独资,100-499人,软件/互联网开发/系统集成,上海
166,CC667947980J00398924807,游戏运维工程师,15K-30K,3-5年,本科,厦门乘三乘五网络科技有限公司,民营,100-499人,IT运维/技术支持,上海
167,CC202713921J90250279000,JAVA高级工程师,9K-18K,3-5年,本科,上海龙智数码科技股份有限公司,合资,20-99人,软件/互联网开发/系统集成,上海
168,CC593620721J00449671701,算法工程师,15K-20K,3-5年,硕士,青岛励图高科信息技术有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
169,CC131577094J00246413006,技术支持主管-XSPT-上海闵行-01010,15K-20K,5-10年,本科,任子行网络技术股份有限公司,上市公司,1000-9999人,IT运维/技术支持,上海
170,CC347169437J90250082000,手机软件测试工程师,7K-14K,1-3年,大专,上海斐德通信科技有限公司,外商独资,100-499人,IT质量管理/测试/配置管理,上海
171,CC175981210J00254976102,爬虫工程师,10K-15K,3-5年,大专,上海欧锐信息咨询有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
172,CC142283986J00372525407,IT项目经理,15K-25K,3-5年,本科,上海成生科技有限公司,民营,20-99人,IT管理/项目协调,上海
173,CC357866628J00382397207,存储运维工程师,8K-15K,3-5年,本科,天翼视讯传媒有限公司,国企,100-499人,IT运维/技术支持,上海
174,CC680636425J00104379112,前端开发工程师,15K-25K,5-10年,大专,北京蜂鸟视图科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
175,CC000101286J00454039601,高级系统工程师(上海）,15K-20K,3-5年,本科,上海中和软件有限公司,合资,1000-9999人,软件/互联网开发/系统集成,上海
176,CC263132912J00241794604,web前端开发,15K-25K,3-5年,本科,维罗软件技术有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
177,CC153912414J00322790202,LCOS现场应用工程师（深圳）-豪威,6K-12K,1-3年,本科,上海韦尔半导体股份有限公司,股份制企业,100-499人,电子/电器/半导体/仪器仪表,上海
178,CC698986830J00309016204,计算机视觉算法工程师,8K-10K,1-3年,本科,上海西派埃智能化系统有限公司,国企,20-99人,软件/互联网开发/系统集成,上海
179,CC000024575J00215330802,Linux C/C++资深软件工程师,10K-15K,5-10年,本科,格尔软件股份有限公司,上市公司,100-499人,软件/互联网开发/系统集成,上海
180,CC303531387J90250367000,Web前端工程师-上海张江-00096,15K-25K,3-5年,本科,上海领健信息技术有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
